title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history,country
AUDI A6 SALOON,4250,95000,2006,2.8075571177504393,Petrol,Saloon,3.1,Automatic,4.0,5.0,Euro 4,Unknown,Germany
TOYOTA YARIS,2999,27682,2007,3.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,Japan
BMW 1 SERIES,2495,89900,2007,4.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,Germany
FIAT 500,2499,80742,2011,3.0,Petrol,Hatchback,1.2,Manual,3.0,4.0,Euro 5,full,Italy
SEAT IBIZA,2394,55926,2008,3.0,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 4,Unknown,Spain
HYUNDAI I30,1999,105000,2010,7.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,South Korea
MERCEDES-BENZ M CLASS,2495,132000,2004,2.8075571177504393,Petrol,SUV,3.7,Automatic,5.0,5.0,Euro 3,Unknown,Germany
PEUGEOT 308,3495,79000,2010,2.8075571177504393,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,Unknown,France
AUDI A4,3995,89000,2008,4.0,Petrol,Saloon,1.8,Manual,4.0,5.0,Euro 4,Unknown,Germany
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
MERCEDES-BENZ A CLASS,15900,62402,2019,1.0,Petrol,Hatchback,1.3,Automatic,5.0,5.0,Euro 6,Unknown,Germany
PEUGEOT 308 SW,9600,56984,2016,4.0,Diesel,Estate,1.6,Manual,5.0,5.0,Euro 6,Unknown,France
FORD S-MAX,1839,103900,2009,4.0,Diesel,MPV,2.0,Manual,5.0,7.0,Euro 4,Unknown,United States
VOLKSWAGEN POLO,2595,102000,2010,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,Germany
HONDA CIVIC,4700,95000,2011,7.0,Petrol,Hatchback,1.4,Automatic,3.0,5.0,Euro 5,Unknown,Japan
PEUGEOT 1007,2490,36600,2007,2.8075571177504393,Petrol,Hatchback,1.6,Automatic,3.0,4.0,Euro 4,Unknown,France
VAUXHALL CORSA,990,130000,2006,1.0,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 4,Unknown,United Kingdom
PEUGEOT 307 CC,1950,70345,2008,5.0,Petrol,Convertible,1.6,Manual,2.0,4.0,Euro 4,Unknown,France
CITROEN C1,1390,97000,2011,3.0,Petrol,Hatchback,1.0,Manual,5.0,4.0,Euro 5,Unknown,France
HYUNDAI I20,3495,112000,2010,2.0,Petrol,Hatchback,1.4,Automatic,5.0,5.0,Euro 4,full,South Korea
NISSAN MICRA,1490,49000,2004,2.8075571177504393,Petrol,Hatchback,1.0,Manual,5.0,5.0,Euro 3,Unknown,Japan
SEAT IBIZA,2799,99061,2011,2.8075571177504393,Petrol,Hatchback,1.2,Manual,3.0,5.0,Euro 5,Unknown,Spain
HONDA CIVIC,9198,78691,2018,2.8075571177504393,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 6,Unknown,Japan
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
FORD FOCUS,2350,89000,2010,6.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,United States
HONDA JAZZ,1399,171000,2007,1.0,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,Japan
MINI HATCH,1189,125000,2005,2.8075571177504393,Petrol,Hatchback,1.6,Manual,3.0,4.0,Euro 4,Unknown,United Kingdom
BMW 5 SERIES,3889,115000,2011,2.8075571177504393,Diesel,Saloon,2.0,Manual,4.0,5.0,Euro 5,Unknown,Germany
BMW 3 SERIES,2599,99000,2007,1.0,Petrol,Saloon,3.0,Manual,4.0,5.0,Euro 4,Unknown,Germany
VAUXHALL CORSA,2795,71000,2011,3.0,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
FORD FIESTA,2699,97500,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4,Unknown,United States
VAUXHALL CORSA,3999,36000,2014,2.0,Petrol,Hatchback,1.4,Manual,3.0,5.0,Euro 5,Unknown,United Kingdom
CITROEN DS4,2700,97385,2013,4.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,France
PEUGEOT 207,999,111400,2007,2.0,Diesel,Hatchback,1.6,Manual,5.0,5.0,Euro 4,Unknown,France
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
KIA RIO,3250,66800,2013,1.0,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 5,Unknown,South Korea
BMW 3 SERIES,2898,98979,2003,2.8075571177504393,Petrol,Coupe,2.5,Automatic,2.0,5.0,Euro 3,Unknown,Germany
VOLKSWAGEN GOLF,2950,98207,2007,4.0,Petrol,Hatchback,1.6,Automatic,5.0,5.0,Euro 4,full,Germany
VAUXHALL CORSA,1749,60000,2006,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 4,Unknown,United Kingdom
FORD FOCUS,2495,101591,2010,2.8075571177504393,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 4,full,United States
MAZDA MAZDA3,3799,68000,2011,2.0,Petrol,Hatchback,1.6,Manual,5.0,5.0,Euro 5,Unknown,Japan
TOYOTA YARIS,1100,164470,2006,3.0,Petrol,Hatchback,1.3,Manual,5.0,5.0,Euro 4,Unknown,Japan
VAUXHALL CORSA,2490,86000,2011,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,United Kingdom
HYUNDAI I30,3250,90000,2010,2.8075571177504393,Petrol,Estate,1.6,Automatic,5.0,5.0,Euro 4,Unknown,South Korea
VOLKSWAGEN POLO,3000,123000,2010,2.8075571177504393,Petrol,Hatchback,1.4,Manual,5.0,5.0,Euro 5,Unknown,Germany
VOLKSWAGEN POLO,3495,127000,2015,2.8075571177504393,Petrol,Hatchback,1.0,Manual,3.0,5.0,Euro 6,Unknown,Germany
VAUXHALL CORSA,10698,22782,2020,2.8075571177504393,Petrol,Hatchback,1.2,Manual,5.0,5.0,Euro 6,Unknown,United Kingdom
KIA SPORTAGE,10198,50028,2016,2.8075571177504393,Petrol,SUV,1.6,Manual,5.0,5.0,Euro 6,Unknown,South Korea
FORD FIESTA,2995,67361,2009,1.0,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 5,full,United States
MITSUBISHI OUTLANDER,4495,116000,2009,3.0,Petrol,SUV,2.4,Automatic,5.0,7.0,Euro 4,full,Japan
VOLKSWAGEN SCIROCCO,3750,99000,2010,3.0,Petrol,Hatchback,1.4,Manual,3.0,4.0,Euro 5,Unknown,Germany
FORD FIESTA,2945,80997,2009,2.8075571177504393,Petrol,Hatchback,1.3,Manual,3.0,5.0,Euro 4,full,United States
VOLKSWAGEN PASSAT,2889,100000,2009,2.8075571177504393,Diesel,Estate,2.0,Manual,5.0,5.0,Euro 5,Unknown,Germany
TOYOTA COROLLA,995,110846,2005,3.0,Diesel,Hatchback,2.0,Manual,5.0,5.0,Euro 3,Unknown,Japan
